topic,dbms,example_id,concept,expected_row_count,expected_numeric_value,expected_text_value,note
JOIN,ORACLE,J01,테이블 수,1,8,,EMP 8행 단일 테이블 조회이므로 JOIN 아님
JOIN,SQLSERVER,J01,테이블 수,1,8,,EMP 8행 단일 테이블 조회이므로 JOIN 아님
JOIN,ORACLE,J02,연결 조건 존재 여부(카티션 곱),1,32,,EMP(8)x DEPT(4)=32 연결조건 없음
JOIN,SQLSERVER,J02,연결 조건 존재 여부(카티션 곱),1,32,,EMP(8)x DEPT(4)=32 연결조건 없음
JOIN,ORACLE,J03,연결 조건 존재 여부(조건부 JOIN),1,8,,EMP.DEPTNO=DEPT.DEPTNO 전 직원 유효 부서 보유로 8행
JOIN,SQLSERVER,J03,연결 조건 존재 여부(조건부 JOIN),1,8,,EMP.DEPTNO=DEPT.DEPTNO 전 직원 유효 부서 보유로 8행
JOIN,ORACLE,J04,카티션 곱 계산(행수/열수),1,12,,DEPT(4)x GRADE_BAND(3)=12행 열수는 2+2=4열
JOIN,SQLSERVER,J04,카티션 곱 계산(행수/열수),1,12,,DEPT(4)x GRADE_BAND(3)=12행 열수는 2+2=4열
JOIN,ORACLE,J05,CROSS JOIN(2행x3행=6행),1,6,,SMALL_A(2)x SMALL_B(3)=6행 첨부 표준JOIN문제9번 유형
JOIN,SQLSERVER,J05,CROSS JOIN(2행x3행=6행),1,6,,SMALL_A(2)x SMALL_B(3)=6행 첨부 표준JOIN문제9번 유형
JOIN,ORACLE,J06,등가 조인,1,8,,EMP.DEPTNO=DEPT.DEPTNO = 비교
JOIN,SQLSERVER,J06,등가 조인,1,8,,EMP.DEPTNO=DEPT.DEPTNO = 비교
JOIN,ORACLE,J07,비등가 조인,1,8,,SALARY BETWEEN LOSAL AND HISAL 8명 전원 등급 매칭
JOIN,SQLSERVER,J07,비등가 조인,1,8,,SALARY BETWEEN LOSAL AND HISAL 8명 전원 등급 매칭
JOIN,ORACLE,J08,조인 조건과 일반 필터 조건 구분,1,4,,DEPTNO 조인 + SALARY>2000 필터: JONES BLAKE CLARK SCOTT
JOIN,SQLSERVER,J08,조인 조건과 일반 필터 조건 구분,1,4,,DEPTNO 조인 + SALARY>2000 필터: JONES BLAKE CLARK SCOTT
JOIN,ORACLE,J09,중복값에 따른 결과 행 수 증가,1,3,,T1(1|2|3) x T2(2|2|3): id1=0 id2=2 id3=1 합계3
JOIN,SQLSERVER,J09,중복값에 따른 결과 행 수 증가,1,3,,T1(1|2|3) x T2(2|2|3): id1=0 id2=2 id3=1 합계3
JOIN,ORACLE,J10,INNER JOIN,1,2,,STUDENT와 SCORE 공통 학번 202301 202302만 유지
JOIN,SQLSERVER,J10,INNER JOIN,1,2,,STUDENT와 SCORE 공통 학번 202301 202302만 유지
JOIN,ORACLE,J11,LEFT OUTER JOIN,1,3,,학생 3명 전원 보존 202303은 성적 NULL
JOIN,SQLSERVER,J11,LEFT OUTER JOIN,1,3,,학생 3명 전원 보존 202303은 성적 NULL
JOIN,ORACLE,J12,RIGHT OUTER JOIN,1,3,,성적 3건 보존 202304는 학생쪽 NULL
JOIN,SQLSERVER,J12,RIGHT OUTER JOIN,1,3,,성적 3건 보존 202304는 학생쪽 NULL
JOIN,ORACLE,J13,FULL OUTER JOIN,1,3,,FULL_A(1|2) FULL_B(2|3): 1 2 3 총 3행(첨부 표준JOIN문제8번과 동일 구조)
JOIN,SQLSERVER,J13,FULL OUTER JOIN,1,3,,FULL_A(1|2) FULL_B(2|3): 1 2 3 총 3행(첨부 표준JOIN문제8번과 동일 구조)
JOIN,ORACLE,J13B,FULL OUTER JOIN(학생/성적 추가 예제),1,4,,202301 202302 202303 202304 총 4행
JOIN,SQLSERVER,J13B,FULL OUTER JOIN(학생/성적 추가 예제),1,4,,202301 202302 202303 202304 총 4행
JOIN,ORACLE,J14,ON(열 이름이 달라도 가능),1,8,,EMP.DEPTNO=DEPT2.DEPT_ID 열이름 달라도 ON으로 연결
JOIN,SQLSERVER,J14,ON(열 이름이 달라도 가능),1,8,,EMP.DEPTNO=DEPT2.DEPT_ID 열이름 달라도 ON으로 연결
JOIN,ORACLE,J15,USING,1,2,,Oracle은 USING(STUNO) 직접 사용
JOIN,SQLSERVER,J15,USING,1,2,,SQL Server는 USING 미지원 ON STUDENT.STUNO=SCORE.STUNO로 대체
JOIN,ORACLE,J16,NATURAL JOIN,1,2,,Oracle은 NATURAL JOIN 직접 사용(공통열 STUNO 자동조건)
JOIN,SQLSERVER,J16,NATURAL JOIN,1,2,,SQL Server는 NATURAL JOIN 미지원 ON STUDENT.STUNO=SCORE.STUNO로 대체
JOIN,ORACLE,J17,구문형 JOIN,1,4,,FROM EMP A DEPT B WHERE 조인조건+SALARY>2000
JOIN,SQLSERVER,J17,구문형 JOIN,1,4,,FROM EMP A DEPT B WHERE 조인조건+SALARY>2000
JOIN,ORACLE,J18,Oracle (+),1,9,,DEPT a EMP b(+): dept40 보존 포함 9행
JOIN,SQLSERVER,J18,Oracle (+) 동등 표현,1,9,,SQL Server는 (+) 미지원 DEPT LEFT JOIN EMP로 대체 9행
JOIN,ORACLE,J19,OUTER JOIN 이후 WHERE로 미일치 행 제거,1,1,,LEFT JOIN 후 WHERE CONTACT_TYPE='휴대폰' M1만 남음
JOIN,SQLSERVER,J19,OUTER JOIN 이후 WHERE로 미일치 행 제거,1,1,,LEFT JOIN 후 WHERE CONTACT_TYPE='휴대폰' M1만 남음
JOIN,ORACLE,J20,LEFT JOIN + IS NULL,1,1,,연락처 없는 회원 M3만 조회
JOIN,SQLSERVER,J20,LEFT JOIN + IS NULL,1,1,,연락처 없는 회원 M3만 조회
JOIN,ORACLE,J21,COUNT(*) vs COUNT(우측열) - COUNT(*),4,,,LEFT JOIN 원본 결과 COUNT(*)=4(actual_row_count로 표현)
JOIN,SQLSERVER,J21,COUNT(*) vs COUNT(우측열) - COUNT(*),4,,,LEFT JOIN 원본 결과 COUNT(*)=4(actual_row_count로 표현)
JOIN,ORACLE,J21B,COUNT(*) vs COUNT(우측열) - COUNT(우측열),1,3,,COUNT(CONTACT.MEMBERID)=3 NULL 1건 제외
JOIN,SQLSERVER,J21B,COUNT(*) vs COUNT(우측열) - COUNT(우측열),1,3,,COUNT(CONTACT.MEMBERID)=3 NULL 1건 제외
JOIN,ORACLE,J22,테이블 별칭,1,8,,별칭 a b 사용 EMP.ENAME처럼 원본테이블명 재사용은 오류(주석 예시만)
JOIN,SQLSERVER,J22,테이블 별칭,1,8,,별칭 a b 사용 EMP.ENAME처럼 원본테이블명 재사용은 오류(주석 예시만)
JOIN,ORACLE,J23,첨부 문제 형태와 유사한 행 수 계산,1,3,,BRANCH(1|2|3) x BRANCH_SALES(2|2|3): id2=1x2=2행 id3=1x1=1행 합계3행
JOIN,SQLSERVER,J23,첨부 문제 형태와 유사한 행 수 계산,1,3,,BRANCH(1|2|3) x BRANCH_SALES(2|2|3): id2=1x2=2행 id3=1x1=1행 합계3행
NULL,ORACLE,N01,"NULL, 0, 공백, 빈 문자열",1,2,,STR_T IS NULL count: Oracle은 빈문자열도 NULL이라 id2 id3 합쳐 2건
NULL,SQLSERVER,N01,"NULL, 0, 공백, 빈 문자열",1,1,,STR_T IS NULL count: SQL Server는 NULL만 세어 id2 1건
NULL,ORACLE,N02,Oracle 빈 문자열과 NULL,1,0,,TXT='' 비교: 컬럼이 이미 NULL이라 결과 0건
NULL,SQLSERVER,N02,SQL Server 빈 문자열과 NULL,1,1,,TXT='' 비교: 진짜 빈 문자열이라 1건 매칭
NULL,ORACLE,N03,공백 문자열 길이(Oracle LENGTH),1,1,,LENGTH(' ')=1 공백도 그대로 포함해 센다
NULL,SQLSERVER,N03,공백 문자열 길이(SQL Server LEN),1,0,,LEN(' ')=0 뒤쪽 공백을 잘라내고 센다
NULL,ORACLE,N03B,공백 문자열 길이(Oracle은 구분 없음),1,1,,Oracle은 DATALENGTH 개념 구분이 없어 LENGTH로 통일(1)
NULL,SQLSERVER,N03B,공백 문자열 길이(SQL Server DATALENGTH),1,1,,DATALENGTH(' ')=1 실제 바이트 수는 유지된다
NULL,ORACLE,N04,= NULL,1,0,,SCORE=NULL은 항상 UNKNOWN이라 WHERE 통과 0건
NULL,SQLSERVER,N04,= NULL,1,0,,SCORE=NULL은 항상 UNKNOWN이라 WHERE 통과 0건
